Time, saveIOAvgTime, updateIoAvgTime
18:07:34,58.057,58.057
18:07:35,38.000,38.000
18:07:36,29.929,29.929
18:07:37,13.726,13.726
18:07:38,21.757,21.757
18:07:39,33.819,33.819
18:07:40,10.927,10.927
18:07:41,62.704,62.704
18:07:42,7.835,7.835
18:07:43,36.918,36.918
18:07:44,9.486,9.486
18:07:45,117.412,117.412
18:07:46,45.167,45.167
18:07:47,20.284,20.284
18:07:48,43.413,43.413
18:07:49,8.815,8.815
18:07:50,11.699,11.699
18:07:51,26.253,26.253
18:07:52,12.671,12.671
18:07:53,12.629,12.629
18:07:54,14.723,14.723
18:07:55,14.108,14.108
18:07:56,12.546,12.546
18:07:57,8.367,8.367
18:07:58,59.190,59.190
18:07:59,12.431,12.431
18:08:00,7.262,7.262
18:52:25,5.000,5.000
18:53:38,33.750,33.750
18:53:39,7.557,7.557
18:53:40,9.168,9.168
18:53:41,30.172,30.172
18:53:42,14.063,14.063
18:53:43,9.881,9.881
18:53:44,205.700,205.700
18:53:45,15.824,15.824
18:53:46,14.667,14.667
18:53:47,12.813,12.813
18:53:48,39.229,39.229
18:53:49,84.250,84.250
18:53:50,14.347,14.347
18:53:51,30.206,30.206
18:53:52,55.891,55.891
18:53:53,6.882,6.882
18:53:54,22.234,22.234
18:53:55,10.558,10.558
18:53:56,15.441,15.441
18:53:57,12.400,12.400
18:53:58,8.958,8.958
18:53:59,14.329,14.329
18:54:00,128.125,128.125
18:54:01,53.371,53.371
18:54:02,12.216,12.216
18:54:03,15.462,15.462
18:54:04,16.238,16.238
18:54:05,15.879,15.879
18:54:06,15.160,15.160
18:54:07,23.714,23.714
18:54:08,25.153,25.153
18:54:21,4.000,4.000
18:54:22,355.333,355.333
18:54:23,76.286,76.286
18:54:24,329.714,329.714
18:54:25,168.750,168.750
18:54:26,206.800,206.800
18:54:27,165.357,165.357
18:54:28,143.143,143.143
18:54:29,54.558,54.558
18:54:30,53.333,53.333
18:54:31,171.357,171.357
18:54:32,28.667,28.667
18:54:33,31.718,31.718
18:54:35,301.063,301.063
18:54:36,23.568,23.568
18:54:37,52.611,52.611
18:54:38,137.000,137.000
18:54:39,39.439,39.439
18:54:40,410.400,410.400
18:54:41,45.250,45.250
18:54:42,99.304,99.304
18:54:43,42.000,42.000
18:54:44,32.875,32.875
18:54:45,150.857,150.857
18:54:46,209.778,209.778
18:54:47,35.333,35.333
18:54:48,155.579,155.579
18:54:49,129.706,129.706
18:54:50,41.271,41.271
18:54:51,65.789,65.789
18:54:52,792.000,792.000
18:54:53,26.775,26.775
18:54:54,38.206,38.206
18:54:55,371.714,371.714
18:54:56,33.673,33.673
18:54:57,33.870,33.870
18:54:58,492.250,492.250
18:54:59,157.222,157.222
18:55:00,69.543,69.543
18:55:01,93.087,93.087
18:55:02,35.463,35.463
18:55:03,27.063,27.063
18:55:04,43.283,43.283
18:55:05,68.406,68.406
18:55:06,26.183,26.183
18:55:07,256.286,256.286
18:55:08,222.800,222.800
18:55:09,35.065,35.065
18:55:10,65.564,65.564
18:55:11,50.951,50.951
18:55:12,26.200,26.200
18:55:13,1090.000,1090.000
18:55:14,61.667,61.667
18:55:15,32.160,32.160
18:55:16,39.360,39.360
18:55:17,34.763,34.763
18:55:18,38.750,38.750
18:55:19,527.000,527.000
18:55:20,74.047,74.047
18:55:21,24.357,24.357
18:55:22,92.737,92.737
18:55:23,27.949,27.949
18:55:24,42.732,42.732
18:55:25,42.128,42.128
18:55:26,527.750,527.750
18:55:27,48.471,48.471
18:55:28,73.821,73.821
18:55:29,43.000,43.000
18:55:30,528.750,528.750
18:55:31,21.393,21.393
18:55:32,170.750,170.750
18:55:33,20.880,20.880
18:55:34,17.561,17.561
18:55:35,86.231,86.231
18:55:36,554.500,554.500
18:55:37,5.200,5.200
18:55:38,74.851,74.851
18:55:39,23.040,23.040
18:55:40,98.870,98.870
18:55:41,71.821,71.821
18:55:42,88.095,88.095
18:55:43,63.268,63.268
18:55:44,28.070,28.070
18:55:45,22.306,22.306
18:55:46,29.963,29.963
18:55:47,28.051,28.051
18:55:48,338.667,338.667
18:55:49,75.912,75.912
18:55:50,38.048,38.048
18:55:51,31.440,31.440
18:55:52,686.333,686.333
18:55:53,81.108,81.108
18:55:54,63.433,63.433
18:55:55,86.056,86.056
18:55:56,30.289,30.289
18:55:57,555.250,555.250
18:55:58,29.966,29.966
18:55:59,56.228,56.228
18:56:00,30.836,30.836
18:56:01,23.794,23.794
18:56:02,268.692,268.692
18:56:03,14.788,14.788
18:56:04,23.615,23.615
18:56:05,74.265,74.265
18:56:06,20.291,20.291
18:56:07,18.328,18.328
18:56:08,144.944,144.944
18:56:09,20.649,20.649
18:56:10,21.240,21.240
18:56:11,31.522,31.522
18:56:12,30.100,30.100
18:56:13,949.500,949.500
18:56:14,23.628,23.628
18:56:15,19.382,19.382
18:56:16,67.923,67.923
18:56:17,24.969,24.969
18:56:18,52.246,52.246
18:56:19,15.592,15.592
18:56:20,33.419,33.419
18:56:21,276.000,276.000
18:56:22,225.667,225.667
18:56:23,16.574,16.574
18:56:24,16.337,16.337
18:56:25,69.933,69.933
18:56:26,20.970,20.970
18:56:27,27.889,27.889
18:56:28,45.103,45.103
18:56:29,39.056,39.056
18:56:30,82.818,82.818
18:56:31,221.900,221.900
18:56:32,114.563,114.563
18:56:33,38.922,38.922
18:56:34,29.709,29.709
18:56:35,30.520,30.520
18:56:36,41.559,41.559
18:56:37,18.545,18.545
18:56:38,37.611,37.611
18:56:39,188.778,188.778
18:56:40,49.612,49.612
18:56:41,105.500,105.500
18:56:42,38.250,38.250
18:56:43,80.696,80.696
18:56:44,35.600,35.600
18:56:45,94.450,94.450
18:56:46,31.909,31.909
18:56:47,22.068,22.068
18:56:48,97.300,97.300
18:56:49,22.349,22.349
18:56:50,520.750,520.750
18:56:51,81.214,81.214
18:56:52,81.455,81.455
18:56:53,24.488,24.488
18:56:54,149.154,149.154
18:56:55,298.000,298.000
18:56:56,94.714,94.714
18:56:57,50.413,50.413
18:56:58,15.110,15.110
18:56:59,80.438,80.438
18:57:00,130.077,130.077
18:57:01,75.121,75.121
18:57:02,20.667,20.667
18:57:03,159.313,159.313
18:57:04,21.576,21.576
18:57:05,12.967,12.967
18:57:06,92.086,92.086
18:57:07,24.679,24.679
18:57:08,15.250,15.250
18:57:09,59.686,59.686
18:57:10,19.281,19.281
18:57:11,85.464,85.464
18:57:12,63.600,63.600
18:57:13,20.548,20.548
18:57:14,67.760,67.760
18:57:15,55.596,55.596
18:57:16,75.233,75.233
18:57:17,15.667,15.667
18:57:18,47.625,47.625
18:57:19,185.818,185.818
18:57:20,33.708,33.708
18:57:21,64.447,64.447
18:57:22,63.744,63.744
18:57:23,24.747,24.747
18:57:24,28.522,28.522
18:57:25,131.368,131.368
18:57:26,22.689,22.689
18:57:27,19.545,19.545
18:57:28,62.571,62.571
18:57:29,90.200,90.200
18:57:30,63.846,63.846
18:57:31,19.746,19.746
18:57:32,102.538,102.538
18:57:33,26.133,26.133
18:57:34,71.649,71.649
18:57:35,187.636,187.636
18:57:36,37.731,37.731
18:57:37,124.952,124.952
18:57:38,16.193,16.193
18:57:39,98.722,98.722
18:57:40,75.656,75.656
18:57:41,95.762,95.762
18:57:42,149.909,149.909
18:57:43,40.513,40.513
18:57:44,34.875,34.875
18:57:45,24.333,24.333
18:57:46,54.878,54.878
18:57:47,42.149,42.149
18:57:48,20.566,20.566
18:57:49,30.444,30.444
18:57:50,90.913,90.913
18:57:51,24.056,24.056
18:57:52,27.887,27.887
18:57:53,97.348,97.348
18:57:54,80.957,80.957
18:57:55,15.096,15.096
18:57:56,45.545,45.545
18:57:57,80.273,80.273
18:57:58,227.444,227.444
18:57:59,29.038,29.038
18:58:00,65.382,65.382
18:58:01,25.800,25.800
18:58:02,244.000,244.000
18:58:03,15.145,15.145
18:58:04,32.646,32.646
18:58:05,71.083,71.083
18:58:06,61.044,61.044
18:58:07,13.253,13.253
18:58:08,187.923,187.923
18:58:09,288.667,288.667
18:58:10,971.500,971.500
18:58:11,686.333,686.333
18:58:13,5.000,5.000
18:58:14,1296.000,1296.000
18:58:17,2611.500,2611.500
19:00:10,4.714,4.714
19:00:11,44.468,44.468
19:00:12,47.273,47.273
19:00:13,4.146,4.146
19:00:14,12.589,12.589
19:00:15,31.700,31.700
19:00:16,141.750,141.750
19:00:17,1019.000,1019.000
19:00:18,956.000,956.000
19:00:19,603.750,603.750
19:00:20,1110.000,1110.000
19:00:21,548.500,548.500
19:00:22,603.500,603.500
19:00:55,1942.424,1942.424
19:00:57,39.156,39.156
19:00:58,23.101,23.101
19:01:00,31.486,31.486
19:01:02,1304.000,1304.000
19:01:03,1464.000,1464.000
19:01:04,1043.500,1043.500
19:01:05,1435.000,1435.000
19:01:06,808.667,808.667
19:01:08,2052.000,2052.000
19:01:10,2247.000,2247.000
19:01:13,2834.000,2834.000
19:04:13,4.729,4.729
19:04:14,18.045,18.045
19:04:15,4.610,4.610
19:04:16,4.585,4.585
19:04:41,82.905,82.905
19:04:42,68.933,68.933
19:04:43,26.367,26.367
19:04:44,51.487,51.487
19:04:45,139.400,139.400
19:04:46,584.500,584.500
19:04:47,567.200,567.200
19:04:48,412.500,412.500
19:04:49,786.333,786.333
19:04:57,21.150,21.150
19:04:58,4.147,4.147
19:04:59,5.759,5.759
19:05:00,3.830,3.830
19:05:01,3.940,3.940
19:05:02,33.895,33.895
19:05:04,1647.000,1647.000
19:05:05,1152.000,1152.000
19:05:15,476.429,476.429
19:05:16,4.317,4.317
19:05:17,6.425,6.425
19:05:18,4.067,4.067
19:05:19,4.056,4.056
19:05:20,4.014,4.014
19:05:21,35.057,35.057
19:05:22,873.000,873.000
19:05:23,208.545,208.545
19:05:24,851.000,851.000
19:05:26,2529.000,2529.000
19:05:28,767.500,767.500
19:05:33,54.783,54.783
19:05:34,3.617,3.617
19:05:35,3.940,3.940
19:05:36,3.953,3.953
19:05:37,3.620,3.620
19:05:38,5.552,5.552
19:05:39,67.722,67.722
19:05:40,568.333,568.333
19:05:42,1994.000,1994.000
19:05:43,1065.000,1065.000
19:05:44,859.000,859.000
19:05:45,108.324,108.324
19:05:46,4.122,4.122
19:05:47,12.532,12.532
19:05:48,4.029,4.029
19:05:49,8.898,8.898
19:05:50,5.267,5.267
19:05:51,4.186,4.186
19:05:52,5.061,5.061
19:05:53,4.414,4.414
19:05:54,4.429,4.429
19:05:55,23.854,23.854
